#name	"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"	"V101"	"V102"	"V103"	"V104"	"V105"	"V106"	"V107"	"V108"	"V109"	"V110"	"V111"	"V112"	"V113"	"V114"	"V115"	"V116"
"22"	-0.04722	0.3557	3.064	0.185528	0.1659	0.34678	-0.179097	-0.08383	-0.071061	0.04247	-1.068	0.124656	-0.4422825	0.221915	-0.5008	-0.8383	-0.378997	0.958333	-1.092	-0.56352	-0.56877	-0.1730988	0.15928	0.2916	0.1291	-0.91237	0.02049	1.299	-0.1809	-0.60208	-0.74365	-0.6401	-0.7554	-0.6703	-0.17936	0.009146	-0.321741	-0.129134	-0.1709	-0.04891	0.07017	-0.2325	0.2209	-0.178	0.3358	0.739	-0.581	0.64	0.2351	0.1116	-0.3004	-0.234	-0.2611	-0.204233	2.968	-1.358	0.591492	0.098078	-0.01606	0.06419	-0.00934	0.0171	0.3875	-0.6772	-2.227	0.4229	0.3985	0.7684	-0.2648	0.5433	-0.1602	-0.3036	0.8253	0.2001	-0.125	0.6645	-0.0874	1.735	-0.3527	-0.05919	0.7533	-0.5116	0.2102	-0.349	-0.4643	-0.4313	-0.2787	-0.2061	-0.3513	-0.3795	0.5824	-0.3252	1.165	0.5224	0.3787	0.06213	0.0018745	-0.2175	-0.7026	-0.4603	-0.3584	2.786	-0.1373	0.5676	0.3237	-0.4485	-0.1555	-0.3032	0.3487	0.4613	-0.2839	0.08224	0.2902	-5.561	0.009428	-0.00281
"23"	-0.13091	0.6974	2.249	0.6536	0.2626	-0.8801	0.5827	-0.7103	-0.031956	0.21202	-0.2593	-1.544	-0.2351825	0.20672	-0.297141	-1.293	-0.321695	0.963903	0.79497	-0.39173	-0.10818	-0.0656888	-0.9707	1.2	0.09049	-0.2927	0.6929	1.174	-1.384	0.677	-0.7485	-1.448	-1.025	1.358	-1.575	-0.3754	-0.328235	1.306	-0.06147	0.5855	-0.1984	-0.009024	0.09133	-1.475	0.7572	0.9445	-1.51	-0.22673	0.5175	-0.8599	-0.316	0.8445	-0.7177	-0.3246	2.317	-3.379	3.845	0.257373	0.02238	-0.5014	0.6071	-0.6135	0.4619	-1.701	0.3029	-0.5557	1.273	0.2413	1.118	0.40701	0.5907	-0.2407	-1.317	-0.483	0.6182	0.7054	-0.4045	-0.209	0.9821	-0.01031	1.323	0.1383	-1.505	-1.981	0.1036	-0.08942	-0.4358	-0.6342	-2.065	-2.578	0.7233	-0.7853	0.4321	-0.3537	0.1366	1.52	-0.1438255	-0.1736	-0.05171	0.1736	-0.7075	2.003	0.540566	-0.3505	2.431	-1.358	0.2984	-1.067	-0.8734	1.344	-0.6511	2.387	1.673	-1.2906	0.29419	0.42793
"24"	-0.3667	0.6543	3.675	-0.3666	-0.8755	-1.295	0.08758	-0.1684	-1.835	-0.147661	0.8826	0.102516	-0.16633	0.246	-0.6422	0.3983	-0.01117	0.41234	0.52467	-0.03655	-0.3519	0.00299	-0.07781	-1.43	0.07867	-0.4935	0.2731	1.768	-1.523	-1.288	-0.7783	-0.5075	-0.4948	-0.2097	-0.525	-1.171	-0.2281	-0.4987	-0.8693	0.7717	1.535	0.3162	0.6185	0.4616	0.6754	0.5517	0.5536	0.6627	0.2477	-0.7447	0.6612	0.1996	0.9875	0.5216	-1.155	-0.7598	0.7095	-1.524	-0.3924	0.4088	0.3813	0.5227	0.4871	0.2354	0.1751	0.2065	0.5832	-0.9567	-0.1189	-0.07386	0.08464	-0.4728	0.6531	-0.06005	1.01	0.09335	-0.06157	-0.985	-0.5089	1.508	-0.1488	0.7033	-0.582	-0.2691	-0.04648	0.2045	0.3172	-0.6163	-0.6254	-0.3946	0.2883	-0.2533	0.0321	-0.4568	-0.4355	2.025	0.07686	-0.1006	0.04725	-0.5154	0.1685	-0.303814	-0.4505	-0.3306	-0.04251	-0.05162	-0.5687	0.1097	-0.1785	1.578	-0.0951	-0.03092	-0.328	-1.324	2.505	-0.322
"25"	1.666	-1.08	1.674	-0.4293	1.115	0.4461	-1.083	0.25451	-0.9222	-1.425	-0.281619	1.235	0.1467	-0.7607	-0.219	-1.899	0.036035	0.3619	0.108946	0.5727	1.105	-0.3115	-0.3076	-1.32	-0.2253	-1.296	0.4791	0.7816	-0.2585	-0.8568	-0.7213	1.047	0.5483	0.1804	0.03604	0.1188	0.8059	0.7353	0.5998	-0.1353	-0.2522	0.1702	-2.578	-0.3424	-0.2166	-0.9683	-0.4863	0.8937	-0.01525	0.8573	0.6302	-0.5343	1.197	-0.8024	0.6126	-0.4588	0.9636	-0.8589	0.3946	0.1718	0.4093	1.516	0.7801	-0.2125	0.1661	-0.05747	-1.497	0.7596	0.3294	0.4084	0.3669	0.3655	0.5124	1.85	-0.1679	0.6567	-1.061	0.0713	-1.448	-0.965	1.031	-0.4224	-2.384	-0.5578	-1.292	2.034	0.4175	-0.306	-1.774	-1.463	-0.3344	-0.274	0.5604	0.7085	1.228	0.2773	-0.8778	0.6557	-0.3284	0.9809	1.116	0.7414	-1.011	0.5467	-0.7492	0.7817	-0.3704	-0.593	0.04482	0.7134	-0.3008	-0.5416	-0.2777	1.137	-0.9114	0.1163
"26"	0.4212	-0.8248	1.834	-0.01168	0.7974	0.1207	-0.8395	-0.4435	0.03141	-0.9203	-1.991	1.483	1.987	-1.732	-0.3124	-0.5879	-0.175431	0.59754	0.00086	-0.076215	0.99389	-0.0071998	-0.146055	-1.376	0.6849	-0.4674	-0.9427	1.591	0.2086	-0.7526	-0.4771	-0.5493	-1.028	-0.7675	-0.6528	0.3129	1	1.727	0.1749	0.5219	-0.276	-0.6197	-2.531	-0.07423	-0.3874	-0.9882	0.3898	0.1668	0.4379	0.3814	1.522	-0.1092	0.2787	-0.8492	0.2848	0.2394	1.083	0.4713	0.1707	-0.223	0.3505	1.661	0.3133	-0.3884	0.7762	-0.02033	-1.269	1.347	0.7181	0.7862	0.5757	0.7012	-0.5339	1.619	0.3198	0.1254	-0.6645	0.506	-1.3	-0.1023	1.693	0.1353	-2.513	0.01788	-1.047	1.758	0.5622	-0.09727	-2.113	-1.193	-0.2847	-0.6883	-0.3379	0.7323	0.5776	0.365	-1.046	1.081	0.5463	1.799	1.675	-0.1689	-0.6394	0.4894	-0.7065	0.8524	-0.6357	-0.3103	0.3365	0.2432	0.4049	-0.5429	-0.55	-1.321	-3.162	-0.009954
"27"	0.20806	1.067	0.4074	0.6947	0.9748	-0.1329	-0.3251	-0.2371	0.7188	-1.808	-1.109	0.02477	0.35816	0.198606	0.2131	-1.331	0.115678	0.27353	0.549786	0.247153	0.45788	0.0110712	0.12429	-0.1987	-0.6953	-0.07452	-0.5849	0.7256	-0.6115	-1.03	3.497	-1.212	-1.169	-0.354605	-1.594	-0.9602	-0.1811	0.001429	2.055	0.4177	-0.2402	-0.4838	-0.8845	0.1916	-0.06859	0.03669	-0.2123	0.1457	-0.02227	0.1113	-0.1738	0.2427	1.394	0.0816	-0.38106	-0.31709	-0.174519	-0.138277	-0.1584	0.6888	-0.2277	0.4747	0.6211	-0.2975	0.7051	-0.0004875	-0.3068	-0.1318	-0.698	1.054	0.9576	0.5071	-0.538	1.914	0.2927	0.03626	0.4834	-1.159	-0.166	0.2216	-0.1839	-0.5208	-0.4851	-0.09723	-0.06257	0.05645	0.3681	-0.5444	-0.6775	-0.3197	-0.4278	-0.5324	0.306	0.8401	-0.3085	0.3099	-0.2902	-0.02673	-0.01083	0.2475	0.2074	-0.403	0.06145	0.05334	0.1924	-0.003701	-0.2138	-0.3514	0.2904	0.14	-0.1292	-0.98	1.102	-0.28407	-0.4048	0.02494
"28"	-1.206	-0.475	0.6788	1.081	0.4632	0.6445	0.2713	-0.1357	-0.232916	0.1955	-0.02172	0.6452	0.02011	-0.7153	-0.01456	-1.215	0.5425	0.65262	0.392676	-3.726	-0.2002	1.981	-0.4991	-0.6917	-0.003261	-0.9455	-1.746	-0.09433	0.3355	0.05627	0.09575	-0.2314	0.8063	-0.3066	1.114	-0.01217	-0.4431	0.1584	0.9258	1.421	-0.3561	-0.1358	-0.1274	-0.2433	-0.5976	0.3457	-0.6703	-1.861	0.5338	0.3963	0.08426	2.069	-0.2594	-1.024	-0.09435	-0.2617	-0.5154	1.383	0.8756	-0.6171	1.109	-0.2512	0.6221	-1.152	-0.08887	-0.3364	0.7342	-0.1525	0.5233	-1.309	-0.1521	-0.7946	-1.374	1.317	-1.656	-0.5234	0.5907	0.5952	0.08333	0.2339	0.8334	0.4045	0.2142	0.4391	-0.5913	-0.08224	0.5344	0.6919	-0.2712	-0.6404	0.2905	-0.1301	0.6723	0.8825	-0.007232	1.562	-0.3749	0.8566	-0.7845	-1.055	1.289	0.8193	-0.7302	0.9646	-0.2563	-0.3024	0.02354	0.09789	0.9007	-0.07564	-0.4529	-0.6667	-2.438	-0.32037221	-0.41675	0.43751
"29"	-1.368	-3.009	0.9897	0.392	1.39	-0.6386	-0.068877	-0.1912717	2.162	2.115	-0.1203	1.339	-3.032	0.070783	-1.86	-1.546	-0.203786	0.87628	0.37318	-0.22503	0.34863	0.0788302	-0.31849	-0.5212	-0.3257	-0.393	0.09069	-0.4848	-0.04795	-0.6832	0.04528	-0.003864	0.4008	-0.001103	0.09758	-0.3487	0.4915	-0.07711	0.6613	0.7743	-0.06763	-0.06825	0.6961	0.5732	0.494	0.1743	-0.05277	0.2222	-0.4127	0.01384	-0.07122	-0.3148	0.01911	-0.5838	-0.2348	0.2668	0.1371	0.08668	0.9431	0.1534	-0.8841	0.3583	-0.5823	-0.301	-0.3623	-0.2089	0.3317	0.5617	0.2665	-0.5074	0.008097	-0.1713	-0.8084	0.3694	0.1422	0.2008	0.05189	0.4115	0.2546	0.1071	-0.04837	0.3077	0.2505	-0.2767	-0.04002	-0.003005	-0.2394	0.2642	-0.162	-0.01218	0.4527	-0.7579	0.4616	-0.2163	0.064	0.06443	0.1823	0.03581	-0.5283	0.318	0.06693	0.09051	0.228	0.4849	0.204	0.2458	0.01878	0.1821	0.232	-0.09241	0.1974	0.4385	-1.361	-0.98563	-0.8683	-1.072
"30"	1.605	-0.2158	-1.627	1.311	-0.86306	1.734	-0.7296	0.30989	-0.359911	-1.2	-0.844551	-0.20616	-0.5129925	-0.4871	-0.35746	-1.038	-0.174171	0.34597	0.76399	-0.2077	-0.210362	0.04607	0.51571	-0.01407	-0.63956	-1.0804	0.9218	-0.9147	-0.01484	0.5029	0.1224	-0.2908	1.18	0.25239	0.3617	0.167794	-0.8024	1.404	0.6884	-1.096	0.5555	-0.8791	1.402	-0.9947	0.2671	0.3674	-0.5697	1.322	-0.9876	-0.171	-0.9151	-0.44897	-0.04278	-1.938	0.05729	-0.9131	1.775	0.3638	-2.117	1.463	0.13421	0.5794	-0.4297257	-0.5589	-0.88223	0.4482	-0.5631	0.135	-0.9403	0.5028	0.9753	0.116796	-2.05	-1.939	1.291	0.761	-0.39688	1.827	-0.4822	0.5883	0.4108	-3.695	-0.1183	-1.655	0.9602	0.8852	-0.14204	-0.497886	2.024	0.474	-1.01688	-0.159271	1.419	0.6689	1.93	-0.1944	-0.4405	0.21	-0.5151	-0.7818	-2.272	0.4627	0.8812	1.475	0.4672	-1.314	0.0566	-1.039	-4.379	0.2578	-0.06943	0.1707	0.70517	-0.11065	1.14	1.968
"31"	-0.9526	-2.02	-1.349	0.5045	-1.075	0.04989	1.56	0.7017	1.275	0.34939	-0.7433	0.114926	0.1194675	1.109	0.5358	0.8183	1.707	-0.0725	0.11082	-0.58894	0.14555	-0.6235758	-2.399	-0.04568	-1.79	0.5645	-0.3408	-1.702	2.29	-0.003283	-0.18144	-1.575	0.4353	-1.693	-0.63252	-0.39366	0.49	0.5504	-2.066	1.55	0.5989	1.189	1.56	0.6347	1.837	1.95	-1.291	2.306	-0.3722	-2.248	-0.3547	-0.2563	-0.4714	0.052383	-0.37	-0.53714	-0.113198	-0.009207	-1.379	3.45	0.6054	-0.7822	-1.898	-0.004307	-1.831	-1.019	1.106	0.06002	-1.821	1.655	1.621	-0.09405	0.7248	-1.197	0.4635	1.43	-0.3218	1.19	-1.267	1.267	-1.293	-1.03	-2.07	-1.666	-0.6317	-1.245	1.205	0.7344	2.311	-0.6509	-0.584	1.03	1.817	-1.276	1.918	-1.167	0.5526	0.5981	1.305	-0.3537	-0.9198	-0.6482	-0.9327	2.482	0.5852	-1.926	2.861	-0.2116	1.218	-0.5131	1.064	-0.9622	-0.9292	-8.058	3.855	-0.1782
"32"	-0.2084	0.3255	-0.6007	0.2417	0.4147	0.834	-0.7212	0.9138	0.7017	-1.44	-0.2159	-0.016553	-0.25203	-0.102944	0.497	-0.4455	-0.399814	1.235893	0.3767	-0.63998	-0.17369	-0.4328688	-0.35973	1.666	-0.488342	0.7302	-0.0122	-0.2467	-0.357373	-0.30458	-0.38601	-0.52229	-1.481	0.008005	-0.313852	1.178	-0.018488	-0.34015	0.1734	-0.1216	0.1715	0.2879	-0.001795	-0.3977	-0.1129	-0.5026	-0.06666	-0.7997	0.7474	-0.26	0.2609	0.4643	-0.1298	-0.235307	-0.28038	-0.76506	-0.489698	0.141393	-0.2477	-0.8475	0.289	0.07841	-0.1892	-0.7399	0.02837	0.168389	0.1018	3.401	-0.7297	-0.08859	-0.7601	-0.9305	-0.9136	-0.5328	0.1751	-0.6574	-0.2593	-1.167	1.643	0.6269	-0.9736	-0.4545	-0.5917	-0.2549	0.5038	-0.5692	0.3824	-0.72	-0.7172	-0.6354	-0.1614	-0.02907	0.2014	1.536	0.8808	0.7202	0.2841	0.9766	0.2595	-0.5432	-0.4223	-0.2117	2.241	0.003689	0.3378	0.1456	-0.6054	-0.08507	0.2938	0.4984	0.1872	0.4863	0.3733	-3.659	0.2785	0.2353
"33"	-0.4123	0.8517	-0.081209	-0.095644	-0.21168	0.2122	-0.057139	0.04523	-0.241562	-0.021104	-0.57565	0.091246	-0.06181	-0.150377	0.4421	-0.1344	-0.149636	0.99206	0.836456	-0.11414	0.40672	0.0799012	-0.6844	0.9042	-0.3243	-0.3985	-1.74	-1.076	0.3805	0.3522	-1.412	-2.25	-1.75	0.2433	-0.31	0.6938	0.3589	1.179	0.6287	0.0887	-0.4322	0.5262	0.1255	-0.2094	-1.079	0.03067	-0.6084	-0.5653	0.9157	0.08826	1.265	1.499	-0.2805	-0.178129	-0.08034	-0.3358	1.88	0.320583	0.3446	0.1838	0.5023	0.4317	0.3351	0.02544	-0.09193	-0.6965	0.5782	3.094	-0.4031	0.197	0.5825	-0.7619	-0.479	2.67	0.1803	-0.8328	0.09331	-1.823	-0.384	0.7985	0.3171	1.748	-0.7971	-0.4943	-0.7516	-1.21	-0.1109	-0.1424	0.6684	-0.3888	-1.222	-0.1195	0.85821	0.1371	0.4784	0.7439	-0.2902375	0.8922	1.027	0.8864	-0.4336	-0.196206	-0.2476	-0.09669	0.07937	0.2823	-2.506	-1.643	-1.204	1.248	-0.1682	0.275	0.236446	-0.8238732	0.30431	0.87352
"34"	0.3299	-0.87681	-0.5693	0.58	-3.183	1.475	0.1032	-0.0368307	-0.6699	-0.08794	0.1092	-0.0469	0.4687975	0.126896	-0.1737	0.4298	-0.067558	0.70532	0.27025	-0.554061	0.2240197	0.2410402	-0.47434	-0.01002	0.5844	-0.67866	-0.7481	-0.5496	-0.303905	-0.167012	-0.2686	-0.7457	-0.815	-0.6849	0.2807	-0.4095	0.1766	-0.097322	0.7925	0.1684	-0.3495	0.2909	-0.1577	0.2483	0.4441	0.5354	-0.7356	-0.3706	0.4385	0.021	0.3329	0.4964	0.1263	0.0583726	0.1371803	-0.729	0.23052	0.036593	0.9313	1.668	0.01302	-0.3965	-0.03176	-0.5028	-0.5232	-0.08676	0.5349	0.2772	0.774	-0.2339	0.2505	0.3411	0.2	-0.2501	0.8397	0.3333	0.4383	0.5349	0.427	0.1966999	0.6021	0.3202	-0.1121	0.2438	-0.5206	0.2904	-0.5019	0.2936	0.6365	0.5203	0.2332	-0.1414	0.06801	-0.7149	-0.01055	-0.2321	0.08777	0.3623	-0.4548	0.002475	0.1984	0.584	-1.419	0.5863	0.3174	-0.1627	0.5282	0.8076	-0.2586	-0.357	-0.2102	-0.454	-1.783	-2.206	0.09517	-1.171
"35"	0.3121	-1.204292	-0.3432	0.1851	0.5482	1.262	0.4323	-0.3387	0.1812	-1.202	0.3483	-0.3558	-0.4829	0.060589	0.1415	-0.396	0.091535	-0.8987	0.220516	-0.177421	0.5988	0.5439832	-1.174	-0.5553	-0.02886	-0.4211	0.1876	-1.357	-1.336	-0.4863	-0.3728	-0.589	-1.545	-0.6432	2.173	-0.3748	1.456	-0.3712	2.163	-0.1228	0.06825	0.5136	0.196	0.08305	0.9159	0.6051	-0.04889	-1.211	-0.1578	-0.3163	0.2027	0.4221	1.414	-0.157	-1.629	-0.108962	-0.117	-0.5054	0.717	0.1073	0.3057	0.3172	-0.1135	0.4319	-0.2045	0.23	0.1536	0.2701	0.6459	0.1149	0.3354	0.387	-0.001083	0.1478	0.7246	0.1461	0.06324	0.2328	0.5129	0.6644	0.361	0.1081	0.2708	-0.3273	-0.4977	0.02134	-0.02702	-0.03948	0.178342	-0.2708	0.2661	-0.01153	0.1429	-0.367	-0.005653	-0.4112	0.5637	0.6462	-0.07094	-0.2886	-0.09072	0.4349	-0.6817	0.6142	-0.003704	-0.3628	0.5381	0.02447	-0.2717	-0.1641	-0.0853	-0.2841	-1.252	-2.132	0.09607	-0.6862
"36"	-0.2774	-0.2785	1.275	1.638	1.246	-0.692	-0.4982	0.02781	-1.523	-0.49	-0.3832	0.0887	0.34236	0.107046	-0.88	-1.983	-0.061613	1.017183	0.490085	-1.988	0.46949	3.825	-1.729	0.3041	0.8215	-1.397	-0.315	-0.2385	0.3283	-0.6829	-0.433663	-1.254	-0.7319	-0.9578	1.061	0.8486	0.1117	-0.01584	0.3886	1.153	0.5136	0.02001	1.046	-0.3306	0.3212	-0.01749	-0.7985	0.2345	0.2526	0.3861	0.769	1.102	0.5334	-1.923	-1.034	-0.5209	1.192	-1.291	0.2094	-0.3373	0.5431	0.3936	0.1689	-0.4027	-0.6191	-0.4757	0.639	0.4428	-0.2305	-0.7334	-0.3059	-0.7563	-0.4084	-0.6116	2.538	-1.17	0.4539	2.151	-0.7944	-0.6089	0.02066	-0.2642	-0.8555	-0.4267	0.077	-0.718	-0.4263	-0.0168	-0.195	-0.2072	0.9448	-0.4438	-0.2274	0.2197	-0.137	-0.1755	0.1023	0.07784	-0.2113	1.557	-0.231	0.5635	-0.368	1.462	1.489	-0.04313	1.313	-0.4959	-1.082	0.6546	-0.05362	-0.3244	-1.545	-0.35655	0.15839	0.336539
"37"	-1.506	-0.3736	1.432	1.789	-0.97969	0.109408	-1.448	-0.03424	0.121267	0.13591	-3.405	0.7946	0.6736175	0.467163	0.01391	-0.7696	-0.17249	-0.14204	0.090495	-0.440888	0.30646	0.285879	0.38342	0.4763	1.863	-0.3974	0.5962	-2.032	-0.7894	0.138776	-1.6	-0.90959	-1.088	1.017	1.475	0.057741	-0.1981192	-2.079	0.009801	0.1988	1.402	-0.009751	2.418	-0.7333	1.559	1.87	-2.787	0.9417	-1.705	-0.4347	0.6323	1.603	1.962	-1.394	-0.1783	0.0893	1.501	0.24257	-0.7343	-1.7	-1.813	-0.3922	-0.50748	-0.4185	0.2002	0.04158	0.4312	1.016	0.01149	0.5716	-0.3829	-1.912	0.7265	-0.6116	3.893	0.7178	-1.908	2.806	-0.6725	0.5041	-0.512862	-1.568	-1.149	-0.3017	0.822	-1.963	-1.85	-0.6489	0.623	-0.03721	0.3387	-0.0189	-0.2765	-1.551	0.242	0.1134	-0.379408	0.006465	0.06869	2.398	1.269	-1.566	0.585	2.579	1.692	0.3388	2.679	-2.607	-3.169	1.031	-1.255	-1.572	-0.004537	0.20281	1.04966	0.391606
"38"	-0.6066	-0.2156	1.974	0.7095	-0.401589	0.8739	-0.5823	0.1057	-3.228	-0.2321	-0.44381	0.5366	-0.5355325	0.374775	-0.05591	0.02033	-0.5571	0.2517	0.697695	-0.57716	0.1512	-0.3615688	-0.5407	-1.093	-0.5722	0.09957	0.3102	-1.338	0.2726	-0.1047	-1.301	-2.602	-0.3277	0.09142	-0.2099	-0.5061	-0.559451	-0.8006	0.08082	-0.3942	0.02289	-0.1077	0.9236	-0.1553	1.128	1.363	-0.8133	1.455	0.3148	0.5724	0.0193	0.9127	0.5306	-0.5813	-0.468527	0.7203	0.4337	-0.322417	-0.03833	-0.3061	0.7604	0.9538	0.6872	0.8965	-1.524	-0.2984	0.5253	1.256	1.033	-0.184	0.1365	-0.5509	-0.601	-0.1902	1.111	-0.4488	0.8823	-0.2911	-0.502	-0.08246	-0.1449	-0.2468	-1.182	-0.4822	-0.7636	-0.8876	-0.6909	-0.3514	-0.9475	-0.3847	0.8232	-0.2944	-0.037	0.9171	0.6434	0.8269	0.6778	0.03425	-0.4048	1.253	0.3194	1.269	-1.085	1.386	1.42	0.4253	-0.2198	0.7776	-0.5206	0.889	-0.1952	-0.286	-0.3371	-1.862	-1.396	-0.5121
"39"	2.127	1.491	-1.569	1.195	-0.1979	-1.337	-0.7069	-1.111	-1.277	-0.8387	-0.3319	0.598	0.5535875	0.9846	0.6173	-0.8152	-0.06763	0.01116	-3.097	-2.001	1.165	1.98	-0.4203	0.722	-0.1435	-2.352	0.5729	-0.5786	-2.964	0.487	-2.687	-2.85	-1.701	-0.0699	-0.4052	0.4306	-0.2043	0.3851	-0.4255	0.7345	0.8486	0.373	0.4983	0.7884	0.5902	1.175	-1.299	0.1954	0.8565	0.766	1.815	0.6124	1.878	-0.2736	0.2134	0.319	0.7753	-0.2781	2.407	0.9726	0.09907	0.7985	-0.6261	-1.094	-2.041	0.5653	0.1109	1.386	0.03004	1.791	1.205	-0.1388	-0.5149	0.7779	0.4048	0.9663	-0.2856	0.508	0.3781	0.2686	1.675	-0.2577	-1.617	-1.045	0.2185	0.1355	-0.4788	-0.7063	-1.841	-0.1797	0.1573	-0.9524	3.344	-0.6048	0.3705	0.411	0.6878	0.2173	-0.4408	-0.7995	1.242	-0.856	0.5505	1.709	0.1535	-0.8406	1.353	-0.4144	-1.442	0.9591	-1.07	-0.8929	1.143	-2.348	-2.736	-1.582
"40"	2.506	1.726	-3.444	1.186	-0.96247	-2.569	-0.586	0.03803	-2.172	0.05522	-0.476	1.078	0.8480285	1.118	0.6702	-0.3533	-1.503	0.252	-4.336	-1.974	1.807	2.642	-0.09139	0.756	0.1834	-1.308	0.5429	-0.7877	-1.758	0.613	-2.502	-3.845	-1.909	-0.01794	-0.3013	0.3035	-0.01939	0.3561	-0.8885	0.2724	0.8695	0.4139	0.2643	1.002	1	1.22	-2.319	0.5604	0.7565	0.619	1.955	0.6954	2.269	-0.3017	0.2183	0.254	0.9803	-1.376	2.002	1.446	0.104	0.8305	-0.5532	-1.743	-1.642	0.5392	0.2429	1.97	-0.01042	2.203	1.319	-0.1093	-0.3024	1.145	0.6143	1.226	-0.172	0.7395	0.5886	0.4922	1.545	-1.597	-1.868	-1.085	0.543	0.2081	-0.3943	-0.7258	-2.365	-0.2401	0.2258	-0.9718	3.471	-0.4483	0.6091	0.3945	-0.2243915	0.8549	0.03077	-0.5459	1.308	-0.3584	0.868	2.218	-0.366	-0.9111	1.65	-0.4858	-1.703	0.9136	-1.059	-1.002	1.13	-1.474	-5.817	-2.253
"41"	1.753	0.4879	-0.1223	0.7821	-0.3049	-0.20808	-0.1138	0.477152	-1.64	-0.25654	-0.51229	-0.007984	0.22618	0.141129	0.3634	-0.4001	-0.23133	0.697353	0.516846	-0.469465	-0.57148	0.2217652	0.07982	0.4597	0.3952	-1.626	-0.4854	-0.0929	0.145	0.2567	-0.8118	-1.145	-0.8493	-1.204	0.04449	0.3443	-0.485702	0.3138	0.3932	0.0782	-0.01572	-0.2073	0.217	-0.1289	-0.3081	0.06816	0.1911	-0.7749	-0.0298	-0.5662	0.9257	0.8451	-0.117	0.2901	-0.3779	0.1437	0.124	-0.0206988	0.4621	-0.5887	5.172	-1.018	-0.03443	-0.1751	-0.7684	-0.27	0.7256	0.339	0.3938	0.6009	2.448	-0.344	-0.6031	0.04771	-0.6465	-1.033	0.4032	0.03475	-0.3961	-0.0426	-0.04507	0.008026	-0.5232	-0.2864	-0.5037	-0.4427	-0.05306	-0.01453	-0.4527	0.1561	0.236	-0.6286	0.6559	0.305	0.1353	0.08373	0.7386	0.2371	-0.273	0.3723	-0.05177	0.2808	0.3353	0.8952	0.5682	-0.1449	0.2541	-0.1056	-0.4477	0.9459	0.08565	0.6318	-0.2462	-2.381	-0.416	-1.111
"42"	2.188	-0.4511	0.1117	0.965	-2.644	1.153	-0.04285	-0.004825	0.1921	-0.0359	-1.095	-0.678	-0.979	0.047823	0.009328	0.05082	-0.170285	-0.9838	0.800286	-0.781	-0.021442	2.539	-0.3662	0.3654	0.6778	-1.645	-0.007761	0.3767	0.3326	-0.8477	-0.7612	-0.7593	-1.163	0.002443	0.7591	0.8069	-0.067	1.05	1.103	-0.4142	-0.6561	-0.4377	-0.09436	-0.4603	-0.5275	-0.1592	0.2158	-0.9192	-0.4482	-0.1646	1.268	-0.6682	0.1527	0.3657	0.4977	-0.01666	0.5497	1.305	0.9707	0.3309	1.522	-0.6512	-0.6488	-1.168	-0.6628	0.6666	0.02829	0.4334	0.2071	0.6322	1.915	0.01431	-0.1388	0.07204	-0.002125	0.2564	-0.8395	0.5341	-0.1518	0.2687	-1.136	-1.511	-0.1729	-0.1311	0.0126	0.2396	0.6613	0.0788	-0.2074	-0.7756	-0.1566	-0.3102	0.6512	0.9273	0.09263	0.2421	-0.4251	0.5614	-0.5027	0.7327	-0.1134	0.2511	0.6336	1.27	-0.1664	-0.7655	0.7424	-0.4993	-1.082	-0.7568	-1.629	-0.1908	0.2161	-0.26599	0.01835	0.96769
